Giros,Resistencia en kΩ
0.0π,0
0.5π,0.1
1.0π,0.1
1.5π,0.2
2.0π,0.3
2.5π,0.4
3.0π,0.5
3.5π,0.5
4.0π,0.6
4.5π,0.7
5.0π,0.8
5.5π,0.9
6.0π,1
6.5π,1.1
7.0π,1.2
7.5π,1.3
8.0π,1.4
8.5π,1.5
9.0π,1.6
9.5π,1.7
10.0π,1.8
10.5π,1.9
11.0π,2
11.5π,2.1
12.0π,2.2
12.5π,2.3
13.0π,2.4
13.5π,2.5
14.0π,2.6
14.5π,2.7
15.0π,2.8
15.5π,2.9
16.0π,3
16.5π,3.1
17.0π,3.1
17.5π,3.3
18.0π,3.4
18.5π,3.4
19.0π,3.5
19.5π,3.6
20.0π,3.7
20.5π,3.8
21.0π,3.9
21.5π,4
22.0π,4.1
22.5π,4.2
23.0π,4.3
23.5π,4.4
24.0π,4.4
24.5π,4.5
25.0π,4.6
25.5π,4.7
26.0π,4.8
26.5π,4.9
27.0π,5
27.5π,5.1
28.0π,5.2
28.5π,5.3
29.0π,5.4
29.5π,5.5
30.0π,5.6
30.5π,5.6
31.0π,5.7
31.5π,5.8
32.0π,5.9
32.5π,6
33.0π,6.1
33.5π,6.2
34.0π,6.3
34.5π,6.3
35.0π,6.4
35.5π,6.5
36.0π,6.6
36.5π,6.7
37.0π,6.8
37.5π,6.9
38.0π,7
38.5π,7.1
39.0π,7.2
39.5π,7.3
40.0π,7.4
40.5π,7.5
41.0π,7.6
41.5π,7.7
42.0π,7.8
42.5π,7.9
43.0π,8
43.5π,8.1
44.0π,8.2
44.5π,8.2
45.0π,8.3
45.5π,8.4
46.0π,8.5
46.5π,8.7
47.0π,8.7
47.5π,8.8
48.0π,8.9
48.5π,9
49.0π,9.1
49.5π,9.2
